Z,mus,mup,mum,Fs,Fp,Fm,phis,phip,phim
0,9.45684180397851e-05,-9.20990069748525,-9.21039123378688,9.45393879014794e-05,-9.20990060588009,-9.21039123302136,0.883627684049824,2.07668281004106e-06,0.00447777524375451
0.001,9.45684171158168e-05,-9.20990069748532,-9.21039123378669,9.45393795809685e-05,-9.20990060582397,-9.21039123296501,0.883627683455157,2.07668279870293e-06,0.00447777526661585
0.002,9.45684143404415e-05,-9.20990069748569,-9.21039123378614,9.45393545996875e-05,-9.20990060565566,-9.21039123279575,0.883627681669783,2.07668276466194e-06,0.00447777533525265
0.003,9.45684097152413e-05,-9.20990069748637,-9.21039123378521,9.45393128983507e-05,-9.2099006053747,-9.21039123251321,0.883627678689581,2.07668270783974e-06,0.00447777544982334
0.004,9.45684032402051e-05,-9.20990069748735,-9.21039123378393,9.4539254378051e-05,-9.20990060498038,-9.2103912321166,0.883627674507672,2.07668262810553e-06,0.00447777561059241
0.005,9.45683949130226e-05,-9.20990069748866,-9.21039123378226,9.4539178900066e-05,-9.20990060447162,-9.21039123160487,0.883627669114396,2.07668252527554e-06,0.00447777581793116
0.006,9.45683847318676e-05,-9.2099006974903,-9.21039123378024,9.45390862853723e-05,-9.20990060384714,-9.2103912309767,0.883627662497293,2.07668239911264e-06,0.00447777607231869
0.007,9.45683726969611e-05,-9.20990069749224,-9.21039123377782,9.45389763141458e-05,-9.20990060310517,-9.21039123023043,0.883627654641063,2.07668224932605e-06,0.00447777637434311
0.008,9.45683588079814e-05,-9.2099006974945,-9.21039123377506,9.45388487251647e-05,-9.20990060224387,-9.21039122936405,0.883627645527532,2.07668207557001e-06,0.00447777672470316
0.009,9.45683430583571e-05,-9.20990069749706,-9.21039123377191,9.45387032152689e-05,-9.20990060126087,-9.21039122837533,0.883627635135597,2.0766818774431e-06,0.00447777712421007
0.01,9.45683254514505e-05,-9.2099006975,-9.2103912337684,9.45385394384435e-05,-9.20990060015361,-9.21039122726162,0.883627623441176,2.07668165448722e-06,0.00447777757378969
0.011,9.45683059818172e-05,-9.20990069750323,-9.2103912337645,9.45383570049446e-05,-9.20990059891913,-9.21039122602,0.883627610417139,2.07668140618654e-06,0.00447777807448498
0.012,9.45682846467241e-05,-9.20990069750678,-9.21039123376025,9.45381554803421e-05,-9.20990059755416,-9.21039122464722,0.883627596033239,2.07668113196558e-06,0.00447777862745879
0.013,9.45682614473793e-05,-9.20990069751069,-9.21039123375562,9.45379343840203e-05,-9.20990059605508,-9.2103912231396,0.883627580256028,2.07668083118831e-06,0.00447777923399692
0.014,9.45682363723764e-05,-9.20990069751486,-9.21039123375061,9.45376931884012e-05,-9.20990059441791,-9.2103912214932,0.883627563048774,2.07668050315597e-06,0.00447777989551161
0.015,9.45682094265963e-05,-9.20990069751942,-9.21039123374524,9.45374313172237e-05,-9.20990059263832,-9.21039121970368,0.883627544371356,2.07668014710548e-06,0.00447778061354519
0.016,9.45681806036644e-05,-9.20990069752426,-9.21039123373948,9.45371481442525e-05,-9.20990059071159,-9.21039121776632,0.883627524180161,2.07667976220752e-06,0.00447778138977431
0.017,9.45681498966794e-05,-9.20990069752944,-9.21039123373335,9.45368429913357e-05,-9.2099005886326,-9.210391215676,0.883627502427969,2.07667934756369e-06,0.00447778222601433
0.018,9.45681173058635e-05,-9.20990069753494,-9.21039123372684,9.45365151266836e-05,-9.20990058639586,-9.2103912134272,0.883627479063824,2.07667890220504e-06,0.00447778312422418
0.019,9.45680828241804e-05,-9.20990069754077,-9.21039123371995,9.45361637632453e-05,-9.20990058399541,-9.21039121101402,0.883627454032902,2.0766784250887e-06,0.00447778408651156
0.02,9.45680464468968e-05,-9.20990069754693,-9.21039123371268,9.45357880562381e-05,-9.20990058142494,-9.21039120843007,0.88362742727636,2.07667791509556e-06,0.00447778511513855
0.021,9.4568008169179e-05,-9.20990069755347,-9.21039123370505,9.45353871010662e-05,-9.20990057867759,-9.21039120566853,0.883627398731185,2.07667737102697e-06,0.00447778621252769
0.022,9.45679679828391e-05,-9.20990069756026,-9.21039123369702,9.45349599309891e-05,-9.20990057574611,-9.21039120272214,0.883627368330022,2.07667679160211e-06,0.00447778738126833
0.023,9.45679258836e-05,-9.20990069756742,-9.21039123368861,9.45345055145819e-05,-9.20990057262269,-9.21039119958309,0.883627336000997,2.07667617545378e-06,0.0044777886241236
