Z,mus,mup,mum,Fs,Fp,Fm,phis,phip,phim
0,-1.12720310212387e-05,-9.20966630169296,-9.21035857028492,-1.17315796601403e-05,-9.20965668736429,-9.21035861778497,0.870853980793495,1.8537720017701e-06,0.00496886575902106
0.001,-1.12719395936576e-05,-9.20966630169248,-9.21035857030317,-1.17314974821814e-05,-9.20965668737079,-9.21035861780814,0.870853997076454,1.85377225897194e-06,0.00496886513299083
0.002,-1.12716652992893e-05,-9.20966630166418,-9.21035857035794,-1.17312509450573e-05,-9.20965668736638,-9.21035861787762,0.870854045925831,1.85377303063571e-06,0.00496886325488091
0.003,-1.12712081315128e-05,-9.20966630160807,-9.2103585704492,-1.17308400381932e-05,-9.20965668735106,-9.21035861799342,0.87085412734313,1.85377431678624e-06,0.00496886012463357
0.004,-1.12705680714375e-05,-9.20966630152413,-9.21035857057698,-1.17302647439088e-05,-9.20965668732482,-9.21035861815552,0.870854241330851,1.85377611746498e-06,0.00496885574215261
0.005,-1.12697450938195e-05,-9.20966630141237,-9.21035857074127,-1.17295250376681e-05,-9.20965668728766,-9.21035861836395,0.870854387892499,1.85377843272997e-06,0.00496885010730334
0.006,-1.12687391701928e-05,-9.20966630127275,-9.21035857094209,-1.17286208876077e-05,-9.20965668723959,-9.2103586186187,0.870854567032575,1.85378126265575e-06,0.00496884321991266
0.007,-1.12675502592663e-05,-9.20966630110532,-9.21035857117943,-1.17275522551197e-05,-9.20965668718059,-9.21035861891979,0.870854778756583,1.85378460733347e-06,0.00496883507976895
0.008,-1.12661783186772e-05,-9.20966630091002,-9.21035857145331,-1.17263190945183e-05,-9.20965668711064,-9.21035861926721,0.870855023071027,1.85378846687086e-06,0.00496882568662221
0.009,-1.12646232943406e-05,-9.20966630068689,-9.21035857176373,-1.17249213529291e-05,-9.20965668702974,-9.21035861966097,0.870855299983411,1.85379284139217e-06,0.00496881504018395
0.01,-1.12628851270093e-05,-9.20966630043592,-9.21035857211072,-1.17233589705668e-05,-9.20965668693789,-9.21035862010108,0.870855609502236,1.85379773103823e-06,0.00496880314012728
0.011,-1.12609637517929e-05,-9.20966630015706,-9.21035857249429,-1.17216318804292e-05,-9.20965668683505,-9.21035862058755,0.870855951637003,1.85380313596643e-06,0.00496878998608692
0.012,-1.12588590952656e-05,-9.20966629985034,-9.21035857291443,-1.17197400085756e-05,-9.20965668672123,-9.21035862112039,0.870856326398214,1.85380905635066e-06,0.00496877557765916
0.013,-1.12565710772873e-05,-9.20966629951572,-9.21035857337118,-1.17176832742927e-05,-9.2096566865964,-9.2103586216996,0.870856733797367,1.85381549238144e-06,0.00496875991440194
0.014,-1.12540996085793e-05,-9.20966629915323,-9.21035857386456,-1.17154615894843e-05,-9.20965668646055,-9.21035862232521,0.870857173846956,1.85382244426573e-06,0.00496874299583485
0.015,-1.12514445994379e-05,-9.20966629876281,-9.21035857439457,-1.17130748589489e-05,-9.20965668631365,-9.21035862299721,0.870857646560475,1.85382991222706e-06,0.00496872482143916
0.016,-1.12486059448862e-05,-9.20966629834447,-9.21035857496124,-1.17105229808234e-05,-9.20965668615568,-9.21035862371563,0.870858151952413,1.85383789650545e-06,0.00496870539065782
0.017,-1.1245583539312e-05,-9.20966629789821,-9.21035857556459,-1.17078058459452e-05,-9.20965668598663,-9.21035862448048,0.870858690038252,1.85384639735744e-06,0.00496868470289555
0.018,-1.12423772672662e-05,-9.20966629742401,-9.21035857620465,-1.17049233382682e-05,-9.20965668580646,-9.21035862529177,0.870859260834473,1.85385541505603e-06,0.00496866275751878
0.019,-1.12389870068513e-05,-9.20966629692184,-9.21035857688143,-1.17018753344744e-05,-9.20965668561515,-9.21035862614952,0.870859864358548,1.85386494989076e-06,0.00496863955385576
0.02,-1.1235412628638e-05,-9.20966629639169,-9.21035857759497,-1.16986617044734e-05,-9.20965668541268,-9.21035862705374,0.870860500628942,1.8538750021676e-06,0.00496861509119654
0.021,-1.12316539973363e-05,-9.20966629583355,-9.2103585783453,-1.16952823109862e-05,-9.20965668519902,-9.21035862800446,0.870861169665114,1.85388557220899e-06,0.00496858936879305
0.022,-1.12277109705724e-05,-9.20966629524741,-9.21035857913244,-1.16917370097946e-05,-9.20965668497414,-9.21035862900168,0.870861871487511,1.85389666035377e-06,0.00496856238585912
0.023,-1.12235833993262e-05,-9.20966629463324,-9.21035857995641,-1.16880256496865e-05,-9.209656684738,-9.21035863004542,0.870862606117574,1.85390826695729e-06,0.00496853414157049
0.024,-1.12192711240857e-05,-9.20966629399103,-9.21035858081725,-1.16841480722329e-05,-9.20965668449056,-9.2103586311357,0.87086337357773,1.8539203923913e-06,0.00496850463506488
0.025,-1.12147739830808e-05,-9.20966629332075,-9.210358581715,-1.16801041121772e-05,-9.20965668423181,-9.21035863227256,0.870864173891395,1.85393303704392e-06,0.00496847386544207
0.026,-1.12100918078389e-05,-9.20966629262239,-9.21035858264968,-1.16758935971573e-05,-9.20965668396171,-9.210358633456,0.870865007082971,1.85394620131962e-06,0.00496844183176388
0.027,-1.1205224417535e-05,-9.20966629189591,-9.21035858362135,-1.16715163477332e-05,-9.2096566836802,-9.21035863468604,0.870865873177845,1.85395988563937e-06,0.00496840853305425
0.028,-1.12001716287525e-05,-9.20966629114131,-9.21035858463001,-1.16669721775819e-05,-9.20965668338727,-9.21035863596272,0.87086677220239,1.85397409044035e-06,0.00496837396829927
0.029,-1.1194933249928e-05,-9.20966629035855,-9.21035858567573,-1.16622608932748e-05,-9.20965668308286,-9.21035863728604,0.870867704183959,1.85398881617615e-06,0.00496833813644729
0.03,-1.11895090841689e-05,-9.20966628954761,-9.21035858675854,-1.16573822943888e-05,-9.20965668276695,-9.21035863865604,0.870868669150888,1.85400406331661e-06,0.00496830103640892
0.031,-1.11838989241308e-05,-9.20966628870848,-9.21035858787847,-1.16523361735621e-05,-9.20965668243946,-9.21035864007274,0.870869667132492,1.85401983234794e-06,0.00496826266705709
0.032,-1.11781025586432e-05,-9.20966628784113,-9.21035858903559,-1.16471223162162e-05,-9.20965668210036,-9.21035864153617,0.870870698159065,1.85403612377255e-06,0.00496822302722715
0.033,-1.11721197685364e-05,-9.20966628694551,-9.21035859022991,-1.16417405010005e-05,-9.20965668174961,-9.21035864304636,0.870871762261876,1.85405293810918e-06,0.00496818211571688
0.034,-1.11659503276959e-05,-9.20966628602162,-9.21035859146148,-1.16361904992923e-05,-9.20965668138716,-9.21035864460332,0.87087285947317,1.85407027589272e-06,0.0049681399312866
0.035,-1.11595940031109e-05,-9.20966628506941,-9.21035859273037,-1.16304720758909e-05,-9.20965668101296,-9.21035864620709,0.870873989826165,1.85408813767429e-06,0.00496809647265921
0.036,-1.11530505556235e-05,-9.20966628408886,-9.21035859403661,-1.16245849879903e-05,-9.20965668062697,-9.21035864785771,0.87087515335505,1.85410652402115e-06,0.00496805173852025
0.037,-1.11463197369414e-05,-9.20966628307995,-9.21035859538026,-1.16185289864845e-05,-9.20965668022912,-9.21035864955518,0.870876350094985,1.85412543551683e-06,0.00496800572751797
0.038,-1.11394012947246e-05,-9.20966628204263,-9.21035859676136,-1.16123038146343e-05,-9.20965667981938,-9.21035865129955,0.870877580082097,1.85414487276089e-06,0.00496795843826344
0.039,-1.11322949682084e-05,-9.20966628097688,-9.21035859817996,-1.16059092091503e-05,-9.20965667939766,-9.21035865309086,0.870878843353478,1.85416483636902e-06,0.00496790986933056
0.04,-1.11250004885575e-05,-9.20966627988268,-9.21035859963614,-1.15993448995544e-05,-9.20965667896393,-9.21035865492912,0.870880139947186,1.854185326973e-06,0.0049678600192562
0.041,-1.11175175834042e-05,-9.20966627875997,-9.21035860112992,-1.15926106083186e-05,-9.2096566785181,-9.21035865681438,0.870881469902239,1.85420634522063e-06,0.00496780888654023
0.042,-1.1109845969358e-05,-9.20966627760875,-9.21035860266137,-1.15857060511704e-05,-9.20965667806017,-9.21035865874666,0.870882833258616,1.8542278917758e-06,0.00496775646964562
0.043,-1.11019853609796e-05,-9.20966627642894,-9.21035860423055,-1.15786309366483e-05,-9.20965667759002,-9.21035866072601,0.870884230057254,1.85424996731831e-06,0.00496770276699854
0.044,-1.10939354606727e-05,-9.20966627522055,-9.21035860583752,-1.15713849663801e-05,-9.20965667710761,-9.21035866275245,0.870885660340044,1.85427257254401e-06,0.00496764777698836
0.045,-1.10856959679988e-05,-9.20966627398351,-9.21035860748233,-1.15639678348878e-05,-9.20965667661288,-9.21035866482602,0.870887124149832,1.85429570816464e-06,0.00496759149796785
0.046,-1.10772665726948e-05,-9.2096662727178,-9.21035860916506,-1.15563792302265e-05,-9.20965667610575,-9.21035866694677,0.870888621530414,1.85431937490785e-06,0.0049675339282532
