Z,mus,mup,mum,Fs,Fp,Fm,phis,phip,phim
0,0.000688971339565838,-9.20859229256858,-9.21046223667415,0.000689082426987855,-9.20859338316104,-9.21046332726661,0.907556560525643,2.66939380803847e-06,0.00355798095868269
0.001,0.000688971716356207,-9.20859229251375,-9.21046223674934,0.000689082802792423,-9.20859338309653,-9.21046332733213,0.907556577170518,2.66939431553645e-06,0.00355798031896366
0.002,0.000688972846737333,-9.2085922922453,-9.21046223697481,0.000689083930200174,-9.2085933827989,-9.21046332752841,0.907556627104847,2.66939583830092e-06,0.00355797839981817
0.003,0.000688974730702793,-9.20859229176333,-9.21046223735059,0.000689085809195439,-9.20859338226813,-9.21046332785539,0.907556710327739,2.66939837630816e-06,0.00355797520128049
0.004,0.000688977368220755,-9.20859229106782,-9.21046223787665,0.000689088439751434,-9.20859338150427,-9.21046332831311,0.907556826837704,2.66940192951791e-06,0.00355797072340785
0.005,0.000688980759252727,-9.20859229015872,-9.210462238553,0.000689091821830939,-9.20859338050728,-9.21046332890156,0.907556976632658,2.6694064978742e-06,0.00355796496628044
0.006,0.000688984903754002,-9.20859228903608,-9.21046223937961,0.000689095955386312,-9.20859337927719,-9.21046332962072,0.907557159709915,2.66941208130496e-06,0.00355795793000139
0.007,0.000688989801663832,-9.20859228769998,-9.21046224035648,0.000689100840358919,-9.20859337781407,-9.21046333047057,0.907557376066197,2.66941867972183e-06,0.00355794961469677
0.008,0.000688995452910444,-9.20859228615025,-9.21046224148358,0.000689106476679524,-9.20859337611781,-9.21046333145114,0.907557625697627,2.66942629302087e-06,0.0035579400205156
0.009,0.000689001857417835,-9.20859228438709,-9.21046224276093,0.000689112864268357,-9.20859337418854,-9.21046333256238,0.907557908599731,2.66943492108159e-06,0.00355792914762982
0.01,0.000689009015091191,-9.20859228241036,-9.21046224418847,0.000689120003034824,-9.2085933720262,-9.21046333380431,0.907558224767439,2.66944456376793e-06,0.00355791699623429
0.011,0.000689016925828351,-9.20859228022014,-9.21046224576621,0.000689127892878047,-9.20859336963085,-9.21046333517692,0.907558574195086,2.66945522092732e-06,0.00355790356654679
